0.0	30.0	0.8
0.1	31.2	0.5
0.2	38.4	0.9
0.3	31.5	0.2
0.4	46.7	0.2
0.5	55.9	0.1
0.6	58.1	0.2
0.7	45.2	0.6
0.8	55.4	0.6
0.9	59.6	0.4
1.0	70.8	0.4
1.1	72.9	0.1
1.2	81.1	0.9
1.3	76.3	0.7
1.4	77.5	0.5
1.5	78.7	0.3
1.6	97.8	0.9
1.7	90.0	0.9
1.8	98.2	0.9
1.9	105.4	0.5
2.0	102.5	1.0
2.1	115.7	0.9
2.2	116.9	0.1
2.3	114.1	0.3
2.4	131.2	0.9
2.5	121.4	0.5
2.6	129.6	0.5
2.7	131.8	1.0
2.8	142.9	1.0
2.9	137.1	0.8
3.0	148.3	0.6
3.1	146.5	1.0
3.2	150.7	0.5
3.3	168.8	0.2
3.4	163.0	0.4
3.5	173.2	0.3
3.6	185.4	0.6
3.7	178.5	0.1
3.8	187.7	0.1
3.9	192.9	0.2
4.0	191.1	1.0
4.1	199.2	0.9
4.2	192.4	0.8
4.3	213.6	1.0
4.4	201.8	1.0
4.5	208.0	1.0
4.6	223.1	0.2
4.7	221.3	1.0
4.8	231.5	0.6
4.9	227.7	0.1
5.0	228.8	0.4
5.1	228.0	0.9
5.2	246.2	0.9
5.3	245.4	0.1
5.4	249.5	0.7
5.5	256.7	0.9
5.6	249.9	0.3
5.7	259.1	0.1
5.8	273.2	0.3
5.9	275.4	0.2
6.0	267.6	0.5
6.1	271.8	0.5
6.2	275.0	0.4
6.3	278.1	0.9
6.4	290.3	0.5
6.5	299.5	0.3
6.6	305.7	0.1
6.7	305.8	0.3
6.8	301.0	0.3
6.9	316.2	0.1
7.0	309.4	0.8
7.1	313.5	0.1
7.2	317.7	0.7
7.3	321.9	0.5
7.4	327.1	0.3
7.5	332.3	0.7
7.6	338.4	0.4
7.7	342.6	0.2
7.8	344.8	0.6
7.9	350.0	0.2
8.0	367.1	0.9
8.1	367.3	0.7
8.2	368.5	0.9
8.3	364.7	0.8
8.4	369.8	0.9
8.5	371.0	0.7
8.6	393.2	0.8
8.7	392.4	0.7
8.8	393.5	0.4
8.9	392.7	0.6
9.0	393.9	0.9
9.1	408.1	0.1
9.2	419.3	0.6
9.3	406.4	0.5
9.4	412.6	1.0
9.5	419.8	0.7
9.6	417.0	1.0
9.7	434.1	0.6
9.8	432.3	0.9
9.9	448.5	0.5
10.0	440.7	0.6
